"Name","Version","License"
"Brotli","1.1.0","MIT License"
"Flask","3.1.2","BSD-3-Clause"
"Jinja2","3.1.6","BSD License"
"Markdown","3.9","BSD-3-Clause"
"MarkupSafe","3.0.3","BSD-3-Clause"
"PyYAML","6.0.3","MIT License"
"Werkzeug","3.1.3","BSD License"
"annotated-types","0.7.0","MIT License"
"anyio","4.11.0","MIT"
"arabic-reshaper","3.0.0","MIT"
"asn1crypto","1.5.1","MIT License"
"beautifulsoup4","4.14.2","MIT License"
"blinker","1.9.0","MIT License"
"boto3","1.40.51","Apache Software License"
"botocore","1.40.51","Apache-2.0"
"certifi","2025.10.5","Mozilla Public License 2.0 (MPL 2.0)"
"cffi","2.0.0","MIT"
"charset-normalizer","3.4.4","MIT"
"click","8.3.0","BSD-3-Clause"
"contourpy","1.3.3","BSD License"
"cryptography","46.0.2","Apache-2.0 OR BSD-3-Clause"
"cssselect2","0.8.0","BSD License"
"cycler","0.12.1","BSD License"
"defusedxml","0.7.1","Python Software Foundation License"
"distro","1.9.0","Apache Software License"
"et_xmlfile","2.0.0","MIT License"
"fastapi","0.119.0","MIT License"
"fonttools","4.60.1","MIT"
"fpdf","1.7.2","GNU Lesser General Public License v3 (LGPLv3)"
"fpdf2","2.8.4","GNU Lesser General Public License v3 (LGPLv3)"
"git-remote-s3","0.2.5","Apache Software License"
"greenlet","3.2.4","MIT AND Python-2.0"
"h11","0.16.0","MIT License"
"html5lib","1.1","MIT License"
"httpcore","1.0.9","BSD-3-Clause"
"httpx","0.28.1","BSD License"
"idna","3.11","BSD-3-Clause"
"itsdangerous","2.2.0","BSD License"
"jiter","0.11.0","MIT"
"jmespath","1.0.1","MIT License"
"kiwisolver","1.4.9","BSD License"
"lxml","6.0.2","BSD-3-Clause"
"matplotlib","3.10.7","Python Software Foundation License"
"narwhals","2.8.0","MIT License"
"numpy","2.3.3","BSD License"
"openai","2.3.0","Apache Software License"
"openpyxl","3.1.5","MIT License"
"oscrypto","1.3.0","MIT License"
"packaging","25.0","Apache Software License; BSD License"
"pandas","2.3.3","BSD License"
"pdf2image","1.17.0","MIT License"
"pillow","11.3.0","MIT-CMU"
"playwright","1.55.0","Apache-2.0"
"plotly","6.3.1","MIT License"
"pyHanko","0.31.0","MIT"
"pycparser","2.23","BSD License"
"pydantic","2.12.1","MIT"
"pydantic_core","2.41.3","MIT"
"pydyf","0.11.0","BSD License"
"pyee","13.0.0","MIT License"
"pyhanko-certvalidator","0.29.0","MIT"
"pyparsing","3.2.5","MIT"
"pypdf","6.1.1","BSD-3-Clause"
"pyphen","0.17.2","GNU General Public License v2 or later (GPLv2+); GNU Lesser General Public License v2 or later (LGPLv2+); Mozilla Public License 1.1 (MPL 1.1)"
"python-bidi","0.6.6","GNU Library or Lesser General Public License (LGPL)"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License"
"pytz","2025.2","MIT License"
"reportlab","4.4.4","BSD License"
"requests","2.32.5","Apache Software License"
"s3transfer","0.14.0","Apache Software License"
"seaborn","0.13.2","BSD License"
"six","1.17.0","MIT License"
"sniffio","1.3.1","Apache Software License; MIT License"
"soupsieve","2.8","MIT"
"starlette","0.48.0","BSD-3-Clause"
"supervisor","4.2.1","BSD-derived (http://www.repoze.org/LICENSE.txt)"
"svglib","1.5.1","GNU Lesser General Public License v3 (LGPLv3)"
"tabulate","0.9.0","MIT License"
"tinycss2","1.4.0","BSD License"
"tinyhtml5","2.0.0","MIT License"
"tqdm","4.67.1","MIT License; Mozilla Public License 2.0 (MPL 2.0)"
"typing-inspection","0.4.2","MIT"
"typing_extensions","4.15.0","PSF-2.0"
"tzdata","2025.2","Apache Software License"
"tzlocal","5.3.1","MIT License"
"uritools","5.0.0","MIT License"
"urllib3","2.5.0","MIT"
"uvicorn","0.37.0","BSD-3-Clause"
"weasyprint","66.0","BSD License"
"webencodings","0.5.1","BSD License"
"xhtml2pdf","0.2.17","Apache Software License"
"zopfli","0.2.3.post1","Apache Software License"
