NAME                       VERSION  TYPE           
actions/checkout           v4       github-action  
actions/download-artifact  v4       github-action  
actions/setup-python       v5       github-action  
actions/upload-artifact    v4       github-action  
bcrypt                     4.1.2    python         
click                      8.1.7    python         
cryptography               41.0.7   python         
django                     4.2.0    python         
flask                      3.0.0    python         
httpx                      0.25.2   python         
numpy                      1.26.2   python         
pandas                     2.1.4    python         
psycopg2-binary            2.9.9    python         
pyjwt                      2.8.0    python         
pytest                     7.4.3    python         
pytest-cov                 4.1.0    python         
python-dotenv              1.0.0    python         
pyyaml                     6.0.1    python         
requests                   2.31.0   python         
scikit-learn               1.3.2    python         
sqlalchemy                 2.0.23   python         
tensorflow                 2.15.0   python
